2017_summer,,,,,,,,,,,,
mid,KDA,킬관여율,KT_Pawn,Longzhu_Bdd,SSG_Crown,Afreeca_Kuro,Rox_Lava,SKT_T1_Faker,Jin_Air_Kuzan,MVP_Ian,BBQ_Tempt,EEW_Cepted
KT_Pawn,6,0.674,x,0.5,0.667,0.667,0.333,0.333,0.8,1,0.8,0.8
Longzhu_Bdd,11.3,0.777,0.5,x,0.6,0.667,1,0.6,0.5,0.8,0.8,1
SSG_Crown,3.3,0.625,0.333,0.4,x,0.8,0.667,1,0.4,0.6,1,1
Afreeca_Kuro,4.2,0.725,0.333,0.333,0.2,x,0.667,0.6,1,0.6,0.667,0.8
Rox_Lava,2.7,0.747,0.667,0,0.333,0.333,x,0,0,1,1,0
SKT_T1_Faker,3.4,0.65,0.667,0.4,0,0.4,1,x,0.5,1,0.8,1
Jin_Air_Kuzan,3.7,0.657,0.2,0.5,0.6,0,1,0.5,x,0.333,0.5,1
MVP_Ian,3.1,0.7,0,0.2,0.4,0.4,0,0,0.667,x,0.8,0
BBQ_Tempt,2.9,0.661,0.2,0.2,0,0.333,0,0.2,0.5,0.2,x,0.667
EEW_Cepted,2.4,0.666,0.2,0,0,0.2,1,0,0,1,0.333,x
