2018_spring,,,,,,,,,,,,,
Sup,KDA,킬관여율,KT_Mata,KZ_Gorilla,KSV_Corejj,Afreeca_Tusin,Rox_Key,SKT_T1_Wolf,SKT_T1_Effort,Jin_Air_Wraith,MVP_Max,BBQ_Ignar,KDM_Secret
KT_Mata,6.2,0.701,x,0,0.6,0.6,0.4,1,0.667,0.8,1,0.667,1
KZ_Gorilla,5,0.66,1,x,0.4,0.8,0.8,1,1,1,1,0.6,1
KSV_Corejj,3.6,0.745,0.4,0.6,x,0.4,0.333,0,0,0.8,0.6,0.8,0.5
Afreeca_Tusin,4,0.737,0.4,0.2,0.6,x,1,0.8,x,0.4,1,1,1
Rox_Key,3.1,0.692,0.6,0.2,0.667,0,x,0,0.333,0.5,0.5,0.8,0.8
SKT_T1_Wolf,3.7,0.689,0,0,1,0.2,1,x,x,0.5,0.5,0.5,0.667
SKT_T1_Effort,5.6,0.813,0.333,0,1,x,0.667,x,x,0.333,0.667,x,0.667
Jin_Air_Wraith,3.8,0.664,0.2,0,0.2,0.6,0.5,0.5,0.667,x,0.8,0,1
MVP_Max,2.3,0.734,0,0,0.4,0,0.5,0.5,0.333,0.2,x,1,0.4
BBQ_Ignar,4.2,0.64,0.333,0.4,0.2,0,0.2,0.5,x,1,0,x,0.8
KDM_Secret,2,0.686,0,0,0.5,0,0.2,0.333,0.333,0,0.6,0.2,x
