2018_spring,,,,,,,,,,,,,,,
mid,KDA,킬관여율,KT_Ucal,KT_Pawn,KZ_Bdd,KSV_Crown,Afreeca_Kuro,Rox_Lava,Rox_kuzan,SKT_T1_Faker,Jin_Air_Grace,Jin_Air_Justice,MVP_Ian,BBQ_Tempt,KDM_Edge
KT_Ucal,6.1,0.587,x,x,0,x,1,x,x,1,x,x,1,0.667,1
KT_Pawn,4.5,0.752,x,x,0,0.6,0.333,0.4,x,0.75,0.8,x,1,0.667,1
KZ_Bdd,7.6,0.72,1,1,x,0.4,0.8,0.8,x,1,1,1,1,0.6,1
KSV_Crown,2.4,0.663,x,0.4,0.6,x,0.4,0.333,x,0,0.75,1,0.6,0.8,0.5
Afreeca_Kuro,5.4,0.757,0,0.667,0.2,0.6,x,1,x,0.8,0.4,x,1,1,1
Rox_Lava,3.7,0.812,x,0.6,0.2,0.667,0,x,x,0.333,0.5,x,0.5,0.8,0.8
Rox_kuzan,0.1,0.25,x,x,x,x,x,x,x,0,x,x,x,x,x
SKT_T1_Faker,4.2,0.738,0,0.25,0,1,0.2,0.667,1,x,1,0.4,0.6,0.5,0.667
Jin_Air_Grace,3.9,0.711,x,0.2,0,0.25,0.6,0.5,x,0,x,x,0.8,0,1
Jin_Air_Justice,4.2,0.686,x,x,0,0,x,x,x,0.6,x,x,x,0,x
MVP_Ian,3.1,0.66,0,0,0,0.4,0,0.5,x,0.4,0.2,x,x,1,0.4
BBQ_Tempt,3.8,0.673,0.333,0.333,0.4,0.2,0,0.2,x,0.5,1,1,0,x,0.8
KDM_Edge,2.6,0.722,0,0,0,0.5,0,0.2,x,0.333,0,x,0.6,0.2,x
