2017_summer,,,,,,,,,,,,,,,,
Jg,KDA,킬관여율,KT_Score,Longzhu_Cuzz,SSG_Ambition,SSG_Haru,Afreeca_Spirit,Afreeca_Mowgli,Rox_Seonghwan,Rox_Mightybear,SKT_T1_Blank,SKT_T1_Peanut,Jin_Air_Umti,MVP_Beyond,BBQ_Bless,EEW_Malrang
KT_Score,7.1,0.712,x,0.5,0.667,0.667,0.6,1,0,0.75,0,0.5,0.8,1,0.8,0.667
Longzhu_Cuzz,4.6,0.648,0.5,x,0.6,x,0.667,x,1,1,0,1,0.5,0.8,0.8,1
SSG_Ambition,3.8,0.624,0.333,0.4,x,x,0.8,x,0.667,0.667,1,1,0.4,0.75,1,1
SSG_Haru,2.4,0.493,0.333,x,x,x,x,x,x,x,x,x,x,0,1,1
Afreeca_Spirit,3.1,0.678,0.4,0.333,0.2,x,x,x,1,0.667,0,1,1,0.75,0.5,0.75
Afreeca_Mowgli,2.7,0.645,0,x,x,x,x,x,0,x,x,x,x,0,1,1
Rox_Seonghwan,3.4,0.746,1,0,0.333,x,0,1,x,x,x,0,0,1,1,0.5
Rox_Mightybear,3.1,0.783,0.25,0,0.333,x,0.333,x,x,x,0,0,x,x,0.667,0
SKT_T1_Blank,4.1,0.712,1,1,0,x,1,x,x,1,x,x,0.667,1,1,1
SKT_T1_Peanut,2.8,0.678,0.5,0,0,x,0,x,1,1,x,x,0,1,0.75,1
Jin_Air_Umti,3.1,0.697,0.2,0.5,0.6,x,0,x,1,x,0.333,1,x,0.333,0.667,1
MVP_Beyond,2.5,0.734,0,0.2,0.25,1,0.25,1,0,x,0,0,0.667,x,0.8,0
BBQ_Bless,2,0.62,0.2,0.2,0,0,0.5,0,0,0.333,0,0.25,0.333,0.2,0,0.667
EEW_Malrang,3.22,0.69,0.333,0,0,0,0.25,0,0.5,1,0,0,0,1,0.333,x
